Car Year,Brand,Model,Scale,Color,Maker,Year,Code,Price,Notes,Total Models:,Stats,,,,,,,,,
1987,Lamborghini,Countach Evoluzione,1:43,Gray,Leo Models,2020,CountEVO-1,$15.0,,,,,,,,,,,,
1986,Lamborghini,Countach QVX,1:43,Black,Edicola,2023,CountQVX-1,$15.0,,,,,,,,,,,,
1976,Lamborghini,Countach Walter Wolf,1:64,Blue,Tomica,2023,CountWolf-1,$15.0,,,,,,,,,,,,
2021,Lamborghini,Countach LPI800-4,1:24,White,Bburago,2022,CountLPI-1,$26.0,,,,,,,,,,,,
2021,Lamborghini,Countach LPI800-4,1:38,Yellow,Kinsmart,2025,CountLPI-2,$15.0,Museo Ferruccio Lamborghini,,,,,,,,,,,
1990,Lamborghini,Diablo,1:24,Yellow,SS 7702,2011,Diablo-1,-,,,,,,,,,,,,
1990,Lamborghini,Diablo,1:40,Orange,Maisto,2017,Diablo-2,-,,,,,,,,,,,,
1990,Lamborghini,Diablo,1:40,Red,Unbranded,201X,Diablo-3,$3.0,,,,,,,,,,,,
1993,Lamborghini,Diablo VT,1:43,Copper,AUTOart,2023,DiabloVT-1,$30.0,,,,,,,,,,,,
1993,Lamborghini,Diablo SE30,1:32,Red,Unbranded,2022,DiabloSE30-1,$11.0,,,,,,,,,,,,
1995,Lamborghini,Diablo SE30 Jota,1:43,Purple,Ixo,2024,DiabloSE30J-1,$18.0,,,,,,,,,,,,
1996,Lamborghini,Diablo SE Jota Valvoline,1:43,White,Hachette,2023,DiabloValv-1,$15.0,,,,,,,,,,,,
1997,Lamborghini,Diablo VT-R Roadster,1:43,White,Leo Models,2023,DiabloVTRRoad-1,$15.0,,,,,,,,,,,,
1992,Lamborghini,Diablo Roadster Prototype,1:43,Yellow,Leo Models,201X,DiabloRoad-1,$15.0,,,,,,,,,,,,
1986,Lamborghini,Diablo P132,1:43,Blue,Leo Models,201X,DiabloP132-1,$15.0,,,,,,,,,,,,
1995,Lamborghini,Diablo SV,1:38,Yellow,Welly,2022,DiabloSV-1,$8.0,,,,,,,,,,,,
2001,Lamborghini,Diablo VT 6.0 SE,1:64,Gold,F-Toys/LAMBOMODELS,2022/2025,Diablo6.0SE-1,$8.0,,,,,,,,,,,,
2000,Lamborghini,Diablo VT 6.0,1:43,Yellow,Ixo,2024,Diablo6.0-1,$17.0,,,,,,,,,,,,
1997,Lamborghini,Diablo GT2,1:43,Orange,Ixo,2024,DiabloGT2,$25.0,,,,,,,,,,,,
1998,Lamborghini,Diablo GT,1:64,Yellow,Stance Hunters,2025,DiabloGT-1,$30.0,,,,,,,,,,,,
2000,Lamborghini,Diablo GT-R,1:72,White,UCC,2025,DiabloGTR-1,$12.0,,,,,,,,,,,,
2000,Lamborghini,Diablo GTR-S,1:43,Black,Edicola,2023,DiabloGTRS-1,$15.0,,,,,,,,,,,,
1998,Lamborghini,Diablo VT Roadster,1:43,Orange,Edicola,2023,DiabloVTRoad-1,$15.0,,,,,,,,,,,,
2013,Lamborghini,Egoista,1:36,Blue,Unbranded,2018,Egoista-1,$5.0,,,,,,,,,,,,
2013,Lamborghini,Egoista,1:64,Red,Unbranded,2024,Egoista-2,$3.0,,,,,,,,,,,,
2013,Lamborghini,Egoista,1:64,Red,Unbranded,2025,Egoista-3,$3.0,"found on pegs x2, open",,,,,,,,,,,
2013,Lamborghini,Egoista,1:64,Red,Unbranded,2025,Egoista-4,$3.0,"found on pegs x2, closed",,,,,,,,,,,
2013,Lamborghini,Egoista,1:18,White,Unbranded,2025,Egoista-5,$13.0,police plane toy,,,,,,,,,,,
2013,Lamborghini,Egoista,1:36,Gray,Unbranded,2026,Egoista-6,$6.6,,,,,,,,,,,,
1969,Lamborghini,Espada Faena,1:43,Blue,Yow Modellini/LAMBOMODELS,2023/25,Faena-1,$50.0,,,,,,,,,,,,
1968,Lamborghini,Espada Series I,1:55,Gold,Siku,2024,EspS1-1,$10.0,,,,,,,,,,,,
1972,Lamborghini,Espada Series III,1:43,Blue,Hachette,2023,EspS3-1,$30.0,,,,,,,,,,,,
2020,Lamborghini,Essenza SCV12,1:22,Green,Jinlifang,2022,Essenza-1,$18.0,,,,,,,,,,,,
2008,Lamborghini,Estoque,1:64,Red,Hot Wheels,2015,Estoque-1,$3.0,,,,,,,,,,,,
2008,Lamborghini,Estoque,1:43,Gray,Rastar,2024,Estoque-2,$6.0, Montenegro,,,,,,,,,,,
2003,Lamborghini,Gallardo 5.0,1:32,Orange,Kinsmart,201X,Gal-1,$3.0,,,,,,,,,,,,
